Year,Laureate,Country,Rationale
1996,Douglas Osheroff,United States,"""for their discovery of superfluidity in helium-3"""
1996,Robert Coleman Richardson,United States,"""for their discovery of superfluidity in helium-3"""
1997,Steven Chu,United States,"""for development of methods to cool and trap atoms with laser light."""
1997,Claude Cohen-Tannoudji,France,"""for development of methods to cool and trap atoms with laser light."""
1997,William Daniel Phillips,United States,"""for development of methods to cool and trap atoms with laser light."""
1998,Robert B. Laughlin,United States,"""for their discovery of a new form of quantum fluid with fractionally charged excitations"""
1998,Horst Ludwig Störmer,Germany,"""for their discovery of a new form of quantum fluid with fractionally charged excitations"""
1998,Daniel C. Tsui,Republic of China|United States,"""for their discovery of a new form of quantum fluid with fractionally charged excitations"""
1999,Gerard 't Hooft,Netherlands,"""for elucidating the quantum structure of electroweak interactions in physics"""
1999,Martinus J. G. Veltman,Netherlands,"""for elucidating the quantum structure of electroweak interactions in physics"""
2000,Zhores Alferov,Russia,"""for developing semiconductor heterostructures used in high-speed- and optoelectronics"""
2000,Herbert Kroemer,Germany,"""for developing semiconductor heterostructures used in high-speed- and optoelectronics"""
2000,Jack Kilby,United States,"""for his part in the invention of the integrated circuit"""
2001,Eric Allin Cornell,United States,"""for the achievement of Bose–Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"""
2001,Carl Wieman,United States,"""for the achievement of Bose–Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"""
2001,Wolfgang Ketterle,Germany,"""for the achievement of Bose–Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"""
2002,Raymond Davis Jr.,United States,"""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos"""
2002,Masatoshi Koshiba,Japan,"""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos"""
2002,Riccardo Giacconi,Italy|United States,"""for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources"""
2003,Alexei Alexeyevich Abrikosov,Russia|United States,"""for pioneering contributions to the theory of superconductors and superfluids"""
2003,Vitaly Ginzburg,Russia,"""for pioneering contributions to the theory of superconductors and superfluids"""
2003,Anthony James Leggett,United Kingdom|United States,"""for pioneering contributions to the theory of superconductors and superfluids"""
2004,David Gross,United States,"""for the discovery of asymptotic freedom in the theory of the strong interaction"""
2004,Hugh David Politzer,United States,"""for the discovery of asymptotic freedom in the theory of the strong interaction"""
2004,Frank Wilczek,United States,"""for the discovery of asymptotic freedom in the theory of the strong interaction"""
2005,Roy J. Glauber,United States,"""for his contribution to the quantum theory of optical coherence"""
2005,John L. Hall,United States,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique"""
2005,Theodor W. Hänsch,Germany,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique"""
2006,John C. Mather,United States,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation"""
2006,George Smoot,United States,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation"""
2007,Albert Fert,France,"""for the discovery of giant magnetoresistance"""
2007,Peter Grünberg,Germany,"""for the discovery of giant magnetoresistance"""
2008,Makoto Kobayashi (physicist),Japan,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature"""
2008,Toshihide Maskawa,Japan,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature"""
2008,Yoichiro Nambu,Japan|United States,"""for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics"""
2009,Charles K. Kao,Hong Kong|United Kingdom|United States,"""for groundbreaking achievements concerning the transmission of light in fibers for optical communication"""
2009,Willard Boyle,Canada|United States,"""for the invention of an imaging semiconductor circuit – the CCD sensor"""
2009,George E. Smith,United States,"""for the invention of an imaging semiconductor circuit – the CCD sensor"""
2010,Andre Geim,Russia |United Kingdom|Netherlands,"""for groundbreaking experiments regarding the two-dimensional material graphene"""
2010,Konstantin Novoselov,Russia|United Kingdom,"""for groundbreaking experiments regarding the two-dimensional material graphene"""
2011,Saul Perlmutter,United States,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"""
2011,Brian Schmidt,Australia|United States,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"""
2011,Adam Riess,United States,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"""
2012,Serge Haroche,France,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems."""
2012,David J. Wineland,United States,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems."""
2013,François Englert,Belgium,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider"""
2013,Peter Higgs,United Kingdom,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider"""
2014,Isamu Akasaki,Japan,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"""
2014,Hiroshi Amano,Japan,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"""
2014,Shuji Nakamura,Japan|United States,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"""
2015,Takaaki Kajita,Japan,"""for the discovery of neutrino oscillations, which shows that neutrinos have mass"""
2015,Arthur B. McDonald,Canada,"""for the discovery of neutrino oscillations, which shows that neutrinos have mass"""
2016,David J. Thouless,United Kingdom|United States,"""for theoretical discoveries of topological phase transitions and topological phases of matter"""
2016,Duncan Haldane,United Kingdom,"""for theoretical discoveries of topological phase transitions and topological phases of matter"""
2016,J. Michael Kosterlitz,United Kingdom,"""for theoretical discoveries of topological phase transitions and topological phases of matter"""
2017,Rainer Weiss,Germany|United States,"""for decisive contributions to the LIGO detector and the observation of gravitational waves"""
2017,Kip Thorne,United States,"""for decisive contributions to the LIGO detector and the observation of gravitational waves"""
2017,Barry Barish,United States,"""for decisive contributions to the LIGO detector and the observation of gravitational waves"""
